//---------------------------------------------------------
// 以下學生及學校資料均為程式任意產生, 並非真實數據.
// stuNo,namg,gender,stuType,school,schType,city,district
//---------------------------------------------------------

120001,蔡家雅,女,一般生,二重國中,市立,新北市,
120002,張怡宇,女,一般生,二重國中,市立,新北市,
120003,王庭棋,女,一般生,二重國中,市立,新北市,
120004,黃和夫,男,一般生,竹林高中,私立,新北市,
120005,林于文,女,一般生,竹林高中,私立,新北市,
120006,唐馨馨,女,一般生,竹林高中,私立,新北市,
120007,張韻庭,女,一般生,竹林高中,私立,新北市,
120008,應立煌,男,一般生,育林國中,市立,新北市,
120009,賀家政,男,一般生,碇內國中,市立,基隆市,
120010,游惠嘉,女,一般生,碇內國中,市立,基隆市,
120011,林佑倫,男,一般生,碇內國中,市立,基隆市,
120012,孫宥葳,女,一般生,碇內國中,市立,基隆市,
120013,黃岑秀,女,一般生,碇內國中,市立,基隆市,
120014,楊雅柔,女,原住民生,實踐國中,市立,台北市,文山區
120015,李至君,女,一般生,新莊國中,市立,新北市,
120016,陳怡婷,女,一般生,新莊國中,市立,新北市,
120017,林雅文,女,一般生,新莊國中,市立,新北市,
120018,謝羿婷,女,一般生,新莊國中,市立,新北市,
120019,郭玟寧,女,一般生,新莊國中,市立,新北市,
120020,方翊郁,女,一般生,新莊國中,市立,新北市,
120021,洪亭瑩,女,一般生,新莊國中,市立,新北市,
120022,莊盈琳,女,一般生,新莊國中,市立,新北市,
120023,陳子傑,男,一般生,新莊國中,市立,新北市,
120024,徐冠運,男,一般生,新莊國中,市立,新北市,
120025,邱典鳴,男,一般生,新莊國中,市立,新北市,
120026,何冠斌,男,一般生,新莊國中,市立,新北市,
120027,劉潔容,女,一般生,新莊國中,市立,新北市,
120028,王尉瑩,女,一般生,新莊國中,市立,新北市,
120029,徐盈菁,女,一般生,新莊國中,市立,新北市,
120030,何慈貞,女,一般生,新莊國中,市立,新北市,
120031,黃宜勻,女,一般生,新莊國中,市立,新北市,
120032,陳霈蓁,女,一般生,新莊國中,市立,新北市,
120033,賴孟穎,女,一般生,新莊國中,市立,新北市,
120034,沈家佑,女,一般生,新莊國中,市立,新北市,
120035,朱羚儒,女,一般生,新莊國中,市立,新北市,
120036,蕭宛倫,女,一般生,新莊國中,市立,新北市,
120037,余艾芳,女,一般生,新莊國中,市立,新北市,
120038,呂德雯,女,一般生,新莊國中,市立,新北市,
120039,林雅霖,女,一般生,新莊國中,市立,新北市,
120040,程俐婷,女,一般生,新莊國中,市立,新北市,
120041,陳俐平,女,一般生,新莊國中,市立,新北市,
120042,林一妤,女,一般生,新莊國中,市立,新北市,
120043,徐芷妤,女,一般生,新莊國中,市立,新北市,
120044,郭妤文,女,一般生,新莊國中,市立,新北市,
120045,陳敏庭,女,一般生,新莊國中,市立,新北市,
120046,羅毓芹,女,一般生,新莊國中,市立,新北市,
120047,陳煜文,男,一般生,三峽國中,市立,新北市,
120048,黃宜馨,女,一般生,三峽國中,市立,新北市,
120049,蔡彥娟,女,一般生,三峽國中,市立,新北市,
120050,丁淑儒,女,一般生,三峽國中,市立,新北市,
120051,黃鈺華,男,一般生,三峽國中,市立,新北市,
120052,廖嘉倫,男,一般生,溪崑國中,市立,新北市,
120053,張欣葳,女,一般生,錦和高中,市立,新北市,
120054,周佳好,女,一般生,靜修女中,私立,台北市,大同區
120055,張美鈴,女,一般生,五常國中,市立,台北市,中山區
120056,何柏銘,男,一般生,樹林高中,市立,新北市,
120057,陳宜瑩,女,一般生,福和國中,市立,新北市,
120058,張欣盈,女,一般生,溪崑國中,市立,新北市,
120059,林佳雯,女,一般生,溪崑國中,市立,新北市,
120060,葉景文,女,一般生,溪崑國中,市立,新北市,
120061,李萱戎,女,一般生,溪崑國中,市立,新北市,
120062,蔡冠彤,女,一般生,溪崑國中,市立,新北市,
120063,賴映唐,女,一般生,溪崑國中,市立,新北市,
120064,賴欣琪,女,一般生,溪崑國中,市立,新北市,
120065,吳安葦,女,一般生,溪崑國中,市立,新北市,
120066,張琇穎,女,一般生,溪崑國中,市立,新北市,
120067,王抒蕾,女,一般生,溪崑國中,市立,新北市,
120068,徐雅君,女,一般生,溪崑國中,市立,新北市,
120069,王佩萍,女,一般生,溪崑國中,市立,新北市,
120070,廖秋萱,女,一般生,溪崑國中,市立,新北市,
120071,湯育穎,女,一般生,溪崑國中,市立,新北市,
120072,黃書皓,男,一般生,崇林國中,市立,新北市,
120073,林竺婕,女,一般生,崇林國中,市立,新北市,
120074,林宇吟,女,一般生,崇林國中,市立,新北市,
120075,范閔鴻,男,一般生,崇林國中,市立,新北市,
120076,黃亮萱,女,一般生,崇林國中,市立,新北市,
120077,施品峮,女,一般生,崇林國中,市立,新北市,
120078,劉文儀,女,一般生,古坑國中,縣立,雲林縣,
120079,謝儀倢,女,一般生,永吉國中,市立,台北市,信義區
120080,許業瑋,男,一般生,永吉國中,市立,台北市,信義區
120081,許書謀,男,一般生,永吉國中,市立,台北市,信義區
120082,陳聿芳,女,一般生,光仁高中,私立,新北市,
120083,張鳳凱,男,一般生,中正國中,市立,台北市,中正區
